fecha,lluvia,temperatura
1/07/2023,0,20.7
2/07/2023,0,21.5
3/07/2023,0,24.9
4/07/2023,0,28.7
5/07/2023,0.75,20.2
6/07/2023,26.25,17.5
7/07/2023,0,16.4
8/07/2023,0,13.8
9/07/2023,0,18.4
10/07/2023,0,14.9
11/07/2023,2,13.7
12/07/2023,8.5,9.5
13/07/2023,0.75,10.3
14/07/2023,0,10.7
15/07/2023,0.25,13.4
16/07/2023,0,14.1
17/07/2023,0,12
18/07/2023,0,13.4
19/07/2023,0,14
20/07/2023,0,18.8
21/07/2023,0,25.4
22/07/2023,0,27.5
23/07/2023,0,19.1
24/07/2023,0,13.2
25/07/2023,0,12.2
26/07/2023,0.25,18.4
27/07/2023,0,17
28/07/2023,0,20.1
29/07/2023,0,19.2
30/07/2023,0,22.2
31/07/2023,0,25.8
1/08/2021,0,19.7
2/08/2021,0,19.4
3/08/2021,0,20
4/08/2021,0,21.6
5/08/2021,0,19.8
6/08/2021,0.25,25
7/08/2021,0,28.6
8/08/2021,4.5,18.4
9/08/2021,0.75,13.9
10/08/2021,0,14
11/08/2021,0,18.7
12/08/2021,0,17.2
13/08/2021,0.25,17.4
14/08/2021,0,19.5
15/08/2021,0,20.2
16/08/2021,0,24.5
17/08/2021,0,27.2
18/08/2021,0,29.4
19/08/2021,0,21.7
20/08/2021,0,22.9
21/08/2021,0,18.8
22/08/2021,0,22.8
23/08/2021,0,19.4
24/08/2021,0,19.6
25/08/2021,0,20.3
26/08/2021,0,22.9
27/08/2021,0,22
28/08/2021,0,25.2
29/08/2021,0,26.9
30/08/2021,0,29.6
31/08/2021,0,31
1/08/2022,0,22.9
2/08/2022,0,21.6
3/08/2022,0,18.7
4/08/2022,0,18.4
5/08/2022,0,21.4
6/08/2022,0,16.5
7/08/2022,0,18.7
8/08/2022,0,13.5
9/08/2022,0,18.1
10/08/2022,0,18.5
11/08/2022,0,21
12/08/2022,0,24.2
13/08/2022,0,27.3
14/08/2022,0,29.3
15/08/2022,0,19.3
16/08/2022,0,22.1
17/08/2022,0,17.4
18/08/2022,0,15.3
19/08/2022,0,19.7
20/08/2022,0,20.4
21/08/2022,0,21.1
22/08/2022,0,21.5
23/08/2022,0,26.1
24/08/2022,0,29.3
25/08/2022,0.5,26.6
26/08/2022,0,29.3
27/08/2022,0,22.2
28/08/2022,0,16.6
29/08/2022,0,19.5
30/08/2022,0,22.2
31/08/2022,0,26.2
1/08/2023,0,29.3
2/08/2023,0,31.4
3/08/2023,0,17.6
4/08/2023,0,20
5/08/2023,0,19.9
6/08/2023,0,24.3
7/08/2023,0,15.1
8/08/2023,0,15.1
9/08/2023,0,20.2
